x [m],y [m],z [m],distance [m],max distance [m]
-956.087,4248572.883,5.473115,196.829100,
-955.651,4248572.670,5.468050,197.313925,
-955.215,4248572.458,5.466086,197.798726,
-954.779,4248572.246,5.464119,198.283528,
-954.343,4248572.034,5.460518,198.768339,
-953.907,4248571.822,5.458533,199.253141,
-953.471,4248571.610,5.456719,199.737942,
-953.035,4248571.398,5.453266,200.222752,
-952.599,4248571.186,5.449784,200.707562,
-952.163,4248570.974,5.446465,201.192371,
-951.727,4248570.762,5.443011,201.677181,
-951.291,4248570.550,5.440433,202.161986,
-950.855,4248570.338,5.439235,202.646785,
-950.419,4248570.126,5.439172,203.131583,
-949.983,4248569.914,5.439320,203.616380,
-949.547,4248569.702,5.439275,204.101178,
-949.111,4248569.490,5.439238,204.585976,
-948.676,4248569.278,5.439330,205.070774,
-948.240,4248569.065,5.439314,205.555571,
-947.804,4248568.853,5.438905,206.040369,
-947.368,4248568.640,5.439898,206.525168,
-946.933,4248568.427,5.443427,207.009979,
-946.497,4248568.214,5.448695,207.494805,
-946.062,4248568.001,5.457153,207.979676,
-945.626,4248567.788,5.469079,208.464621,
-945.191,4248567.574,5.480298,208.949548,
-944.756,4248567.360,5.489565,209.434434,
-944.321,4248567.146,5.496861,209.919287,
-943.886,4248566.932,5.499850,210.404094,
-943.452,4248566.717,5.498628,210.888893,
-943.017,4248566.502,5.495403,211.373702,
-942.583,4248566.287,5.491861,211.858512,
-942.149,4248566.071,5.488573,212.343321,
-941.715,4248565.855,5.485214,212.828131,
-941.281,4248565.638,5.481955,213.312939,
-940.847,4248565.421,5.478614,213.797748,
-940.414,4248565.204,5.474337,214.282565,
-939.981,4248564.986,5.468204,214.767401,
-939.548,4248564.768,5.459770,215.252273,
-939.116,4248564.549,5.449314,215.737183,
-938.683,4248564.330,5.436388,216.222153,
-938.251,4248564.110,5.421245,216.707187,
-937.819,4248563.890,5.406509,217.192209,
-937.388,4248563.669,5.394133,217.677164,
-936.956,4248563.447,5.385167,218.162045,
-936.526,4248563.225,5.379879,218.646871,
-936.095,4248563.002,5.377205,219.131676,
-935.665,4248562.779,5.375407,219.616477,
-935.235,4248562.555,5.374060,220.101277,
-934.805,4248562.330,5.372281,220.586078,
-934.376,4248562.105,5.368951,221.070887,
-933.947,4248561.879,5.366030,221.555693,
-933.518,4248561.653,5.364546,222.040493,
-933.090,4248561.426,5.363001,222.525294,
-932.662,4248561.198,5.361249,223.010094,
-932.234,4248560.971,5.359587,223.494895,
-931.806,4248560.743,5.357931,223.979696,
-931.378,4248560.516,5.356253,224.464496,
-930.950,4248560.288,5.354580,224.949297,
-930.521,4248560.060,5.352928,225.434097,
-930.093,4248559.833,5.351239,225.918898,
-929.665,4248559.606,5.349516,226.403699,
-929.237,4248559.379,5.348060,226.888499,
-928.808,4248559.153,5.346246,227.373300,
-928.379,4248558.927,5.343057,227.858108,
-927.949,4248558.702,5.339563,228.342918,
-927.520,4248558.477,5.336257,228.827727,
-927.090,4248558.254,5.332638,229.312538,
-926.659,4248558.031,5.330028,229.797343,
-926.228,4248557.809,5.328529,230.282143,
-925.796,4248557.588,5.325770,230.766948,
-925.364,4248557.369,5.322008,231.251760,
-924.931,4248557.150,5.318592,231.736570,
-924.498,4248556.933,5.316361,232.221373,
-924.064,4248556.717,5.315004,232.706172,
-923.630,4248556.502,5.313500,233.190972,
-923.195,4248556.287,5.310784,233.675777,
-922.759,4248556.074,5.307244,234.160588,
-922.323,4248555.862,5.303937,234.645397,
-921.887,4248555.651,5.300432,235.130207,
-921.450,4248555.441,5.297197,235.615016,
-921.013,4248555.231,5.295378,236.099817,
-920.575,4248555.023,5.293772,236.584617,
-920.137,4248554.815,5.292073,237.069417,
-919.699,4248554.608,5.291655,237.554215,
-919.260,4248554.402,5.292079,238.039013,
-918.821,4248554.197,5.292116,238.523811,
-918.381,4248553.993,5.290698,239.008611,
-917.941,4248553.789,5.289082,239.493411,
-917.501,4248553.585,5.287730,239.978210,
-917.061,4248553.383,5.283515,240.463026,
-916.620,4248553.181,5.278531,240.947850,
-916.179,4248552.980,5.275617,241.432656,
-915.738,4248552.779,5.270074,241.917486,
-915.296,4248552.578,5.263352,242.402330,
-914.854,4248552.379,5.260218,242.887138,
-914.413,4248552.179,5.255407,243.371959,
-913.970,4248551.980,5.248367,243.856808,
-913.528,4248551.782,5.244448,244.341622,
-913.086,4248551.584,5.241567,244.826428,
-912.643,4248551.386,5.238110,245.311238,
-912.200,4248551.188,5.235961,245.796040,
-911.757,4248550.991,5.234694,246.280840,
-911.314,4248550.794,5.233060,246.765640,
-910.871,4248550.598,5.230290,247.250446,
-910.428,4248550.401,5.226784,247.735256,
-909.985,4248550.205,5.224188,248.220061,
-909.542,4248550.009,5.222284,248.704862,
-909.098,4248549.813,5.222184,249.189660,
-908.655,4248549.617,5.222353,249.674458,
-908.211,4248549.421,5.221546,250.159256,
-907.768,4248549.225,5.219540,250.644058,
-907.324,4248549.029,5.216373,251.128866,
-906.881,4248548.833,5.212696,251.613678,
-906.438,4248548.637,5.209449,252.098486,
-905.994,4248548.441,5.207463,252.583288,
-905.551,4248548.245,5.206170,253.068088,
-905.107,4248548.049,5.204491,253.552888,
-904.664,4248547.853,5.201513,254.037695,
-904.220,4248547.657,5.197950,254.522506,
-903.777,4248547.461,5.194632,255.007315,
-903.334,4248547.265,5.191309,255.492124,
-902.890,4248547.069,5.187978,255.976933,
-902.447,4248546.873,5.184681,256.461742,
-902.003,4248546.677,5.181111,256.946553,
-901.560,4248546.481,5.178013,257.431361,
-901.116,4248546.285,5.176279,257.916162,
-900.673,4248546.089,5.174732,258.400962,
-900.230,4248545.893,5.173050,258.885762,
-899.786,4248545.697,5.171659,259.370562,
-899.343,4248545.501,5.169078,259.855367,
-898.900,4248545.305,5.165596,260.340177,
-898.456,4248545.109,5.163645,260.824978,
-898.013,4248544.913,5.162039,261.309779,
-897.569,4248544.717,5.160252,261.794580,
-897.126,4248544.521,5.160297,262.279378,
-896.683,4248544.324,5.159620,262.764176,
-896.239,4248544.128,5.156100,263.248986,
-895.796,4248543.932,5.152734,263.733796,
-895.353,4248543.736,5.149128,264.218607,
-894.909,4248543.540,5.143959,264.703432,
-894.466,4248543.343,5.139771,265.188248,
-894.023,4248543.147,5.136680,265.673055,
-893.580,4248542.951,5.133186,266.157866,
-893.136,4248542.755,5.130553,266.642671,
-892.693,4248542.558,5.129130,267.127470,
-892.250,4248542.362,5.127743,267.612270,
-891.806,4248542.166,5.125353,268.097074,
-891.363,4248541.969,5.121861,268.581884,
-890.920,4248541.773,5.118274,269.066695,
